name,link,edition,author,release,ratings,rating_counts,price,genres
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295,,by Gaur Gopal Das  , 8 October 2018,4.6,"18,939  ",250,
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623,,by Sudha Murty , 1 January 2015,4.6,"17,113  ",250,in Children's Literature & Fiction
Picture Books Collection for Early Learning (Set of 12),/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P,,by E C Axus , 1 January 2016,4.3,"17,669  ",360,
"Do It Today: Overcome Procrastination, Improve Productivity",/Do-Today-procrastination-productivity-meaningful/dp/0143452126,,by Darius Foroux  , 27 October 2020,4.5,"3,595  ",199,
My First Library: Boxset of 10 Board Books for Kids,/My-First-Library-Boxset-Board/dp/9387779262,,by Wonder House Books  , 1 January 2018,4.5,"65,598  ",750,"in Children's Family, Personal & Social Issues"
MANORMA YEAR BOOK 2023 (ENG),/MANORMA-YEAR-BOOK-2023-ENG/dp/9393003645,,by Dr Shashi Tharoor , 12 December 2022,4.1,4  ,330,in Humanities
Brain Activity Book for Kids - 200+ Activities for Age 3+,/Brain-Activity-Book-Kids-Activities/dp/9391924298,,by Maple Press  , 1 September 2021,4.5,"2,432  ",125,in Children's Interactive & Activity Books
Atomic Habits: the life-changing million-copy #1 bestseller,/Atomic-Habits-Proven-Build-Break-ebook/dp/B01N5AX61W,,by James Clear  , 18 October 2018,4.6,"61,846  ",820,
"Story book: 365 Stories from the Vedas, the Upanishads and the Puranas for Children (with colourful illustrations) (365 series)",/Stories-Upanishads-Puranas-Children-Hardcover/dp/9352768647,,by Dipavali Sen , 12 August 2021,4.6,788  ,695,
SSC English TCS 7600+ MCQ Topic wise Book with the detailed explanation I 3rd edition,/English-7600-Topic-detailed-explanation/dp/B0BD99MH2L,,by Pinnacle Publications , 5 September 2022,4.2,119  ,740,
KVS PEDAGOGY MASTER BOOK (BILINGUAL) THEORY with PRACTICE MCQ's,/PEDAGOGY-MASTER-BILINGUAL-THEORY-PRACTICE/dp/B0BR83M3W1,,by Rohit Vaidwan  , 30 November 2022,,,599,in Teacher Recruitment Exams
Examcart KVS Study Guide Book For 2023 Exams in English,/Examcart-Study-Guide-Exams-English/dp/9357031383,,by Examcart Experts  , 25 December 2022,5.0,8  ,599,in Central Teacher Eligibility Test (CTET)
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",/First-Mythology-Tale-Illustrated-Books/dp/9390292964,,by Maple Press  , 1 September 2020,4.4,"6,146  ",275,in Mythology & Folklore Encyclopedias
The Book Tree Baby Box Gift Set of Small 6 Board Book for Children Age 0 - 2 Years- 12 Pages Board Book,/Book-Tree-Small-Board-Children/dp/B09P78X8W2,,by THE BOOK TREE , 1 January 2019,4.3,366  ,499,in Children's Sport
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),/Subtle-Art-Not-Giving-Counterintuitive-ebook/dp/B019MMUA8S,,by Mark Manson  , 13 September 2016,4.5,"81,637  ","1,238",
Ikigai: The Japanese secret to a long and happy life,/Ikigai-Japanese-secret-long-happy-ebook/dp/B073D36KNM,,by Héctor García  and Francesc Miralles  , 7 September 2017,4.6,"40,176  ",615,
Shine India Year Book 2023 (Telugu Medium),/Shine-India-Year-Telugu-Medium/dp/B0BQRRP317,Telugu Edition , by Sayyad Raja , 20 December 2022,,,239,
Examcart KVS PRT Paryaavaran Vigyaan aur Ganit (Environmental Science & Mathematics) Study Book for 2023 Exams in Hindi,/Examcart-Paryaavaran-Vigyaan-Environmental-Mathematics/dp/9357031340,Hindi Edition , by Examcart Experts  and Prateek Shivalik , 15 December 2022,5.0,19  ,199,
Baby Record Book : Newborn Journal For Boys And Girls To Cherish Memories And Milestones (Ideal Gift For Expecting Parents and Baby Shower),/Baby-Record-Book-Milestones-Expecting/dp/9389432421,,by Wonder House Books , 13 April 2021,4.3,405  ,299,
Trading Chart Pattern [Breakout + Candlestick+Other] | Complete Book | Trading Book,/Trading-Pattern-Breakout-Candlestick-Complete/dp/B0B5S7XBVR,,by Pramesh Universal India , 1 January 2022,3.8,92  ,520,in International Business
Complete Maths Brahamastra formula book for all Competetive Exams,/Complete-Maths-Brahamastra-formula-Competetive/dp/B0BC8KP6VH,,by Aditya Ranjan and Vikramjeet Sir , 11 February 2021,4.1,514  ,150,
War Of Lanka (Ram Chandra Series Book 4),/War-Lanka-Ram-Chandra-Book-ebook/dp/B0B7J9THC7,,by Amish Tripathi  , 3 October 2022,4.3,"2,798  ",225,in Historical Fiction
"JL Sank Magic Practice Copybook For Kids(4 BOOK + 2 PEN + 10 REFILL + 2 GRIP) Magic Book For Kids, Magic Practice Copy Book For Kids, Reusable Calligraphy Books For Kids",/Practice-Copybook-REFILL-Reusable-Calligraphy/dp/B0BFMR7YV2,,by JustLatest , 1 January 2022,4.7,143  ,299,
Rumi's Little Book of Life,/Rumis-Little-Book-Life-Marayam-ebook/dp/B0836LHHN5,,"by Rumi, Marayam H Mafi, et al. ", 27 December 2019,4.6,"1,762  ",820,
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories for Children 2 to 6 year old,/Moral-Story-Books-Illustrated-Stories/dp/9381569886,,by Young Angels Publishing , 1 January 2018,4.4,"5,973  ",500,
Tuesdays With Morrie: The most uplifting book ever written about the importance of human connection,/Tuesdays-Morrie-young-greatest-lesson-ebook/dp/B002TXZRNQ,,by Mitch Albom  , 11 June 2009,4.6,"13,161  ","7,200",
Bee - TCS Pattern Prashnapatrika (Vargikaran va Vishleshan) - Ataparyant Zaleleya TCS chya Prashnapatrika,/Bee-Prashnapatrika-Vargikaran-Vishleshan-Ataparyant/dp/B0BNVLNVNX,Marathi Edition , by Ajay Gund and Ajitkumar , 1 December 2022,4.0,2  ,680,in Maharashtra Public Service Commission (MPSC)
"Price Action Trading : Share Market Books in Marathi Indian Stock Option Technical Analysis & Investing, Learning Guide Zone Bazar Book : द शेअर मार्केट, Sharemarket on Intraday with trends charts इंट्राडे ट्रेडिंग, मराठी पुस्तक, प्राइस एक्शन बुक, बाजार इन झोन Bazaar, Bajar",/Price-Action-Trading-Technical-Sharemarket/dp/9352203712,Marathi Edition , by Indrazith Shantharaj and Poonam Chhatre , 1 January 2023,,,200,
