name,link,edition,author,release,ratings,rating_counts,price,genres
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295,,Gaur Gopal Das, 8 October 2018,4.6,18939.0,250.0,
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623,,Sudha Murty, 1 January 2015,4.6,17113.0,250.0,Children's Literature & Fiction
Picture Books Collection for Early Learning (Set of 12),https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P,,E C Axus, 1 January 2016,4.3,17669.0,360.0,
"Do It Today: Overcome Procrastination, Improve Productivity",https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126,,Darius Foroux, 27 October 2020,4.5,3595.0,199.0,
My First Library: Boxset of 10 Board Books for Kids,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262,,Wonder House Books, 1 January 2018,4.5,65598.0,750.0,"Children's Family, Personal & Social Issues"
MANORMA YEAR BOOK 2023 (ENG),https://www.amazon.in/MANORMA-YEAR-BOOK-2023-ENG/dp/9393003645,,Dr Shashi Tharoor, 12 December 2022,4.1,4.0,330.0,Humanities
Brain Activity Book for Kids - 200+ Activities for Age 3+,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298,,Maple Press, 1 September 2021,4.5,2432.0,125.0,Children's Interactive & Activity Books
Atomic Habits: the life-changing million-copy #1 bestseller,https://www.amazon.in/Atomic-Habits-Proven-Build-Break-ebook/dp/B01N5AX61W,,James Clear, 18 October 2018,4.6,61846.0,820.0,
"Story book: 365 Stories from the Vedas, the Upanishads and the Puranas for Children (with colourful illustrations) (365 series)",https://www.amazon.in/Stories-Upanishads-Puranas-Children-Hardcover/dp/9352768647,,Dipavali Sen, 12 August 2021,4.6,788.0,695.0,
SSC English TCS 7600+ MCQ Topic wise Book with the detailed explanation I 3rd edition,https://www.amazon.in/English-7600-Topic-detailed-explanation/dp/B0BD99MH2L,,Pinnacle Publications, 5 September 2022,4.2,119.0,740.0,
KVS PEDAGOGY MASTER BOOK (BILINGUAL) THEORY with PRACTICE MCQ's,https://www.amazon.in/PEDAGOGY-MASTER-BILINGUAL-THEORY-PRACTICE/dp/B0BR83M3W1,,Rohit Vaidwan, 30 November 2022,,,599.0,Teacher Recruitment Exams
Examcart KVS Study Guide Book For 2023 Exams in English,https://www.amazon.in/Examcart-Study-Guide-Exams-English/dp/9357031383,,Examcart Experts, 25 December 2022,5.0,8.0,599.0,Central Teacher Eligibility Test (CTET)
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964,,Maple Press, 1 September 2020,4.4,6146.0,275.0,Mythology & Folklore Encyclopedias
