name,link,genres,image,rank,author,author_link,ratings,counts,reviews
Harry Potter and the Philosopher's Stone,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_1318158031_sccl_1/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81m9fP+LIPL._AC_UL300_SR300,200_.jpg",1,J.K. Rowling,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_1318158031_bl_sccl_1/000-0000000-0000000,4.7 out of 5 stars,"56,001",https://www.amazon.in/product-reviews/B019PIOJYU/ref=zg_bs_1318158031_cr_sccl_1/000-0000000-0000000
THE SILENT PATIENT,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_1318158031_sccl_2/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/51oVTRsjcqL._AC_UL300_SR300,200_.jpg",2,Alex Michaelides,https://www.amazon.in/Alex-Michaelides/e/B07CZQY3KT/ref=zg_bs_1318158031_bl_sccl_2/000-0000000-0000000,4.5 out of 5 stars,"138,665",https://www.amazon.in/product-reviews/1409181634/ref=zg_bs_1318158031_cr_sccl_2/000-0000000-0000000
War of Lanka (Ram Chandra Series Book 4),https://www.amazon.in/War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_1318158031_sccl_3/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/91+T1TAxkKL._AC_UL300_SR300,200_.jpg",3,Amish Tripathi,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_1318158031_bl_sccl_3/000-0000000-0000000,4.3 out of 5 stars,"2,822",https://www.amazon.in/product-reviews/9356291527/ref=zg_bs_1318158031_cr_sccl_3/000-0000000-0000000
என்னருகே நீயிருந்தால் (Tamil Edition),https://www.amazon.in/%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%87-%E0%AE%A8%E0%AF%80%E0%AE%AF%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%B2%E0%AF%8D-Tamil-Ammu-yoga-ebook/dp/B0BRGH93KJ/ref=zg_bs_1318158031_sccl_4/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/814lj1L-yUL._AC_UL300_SR300,200_.jpg",4,Ammu yoga,,,,
The Complete Novels of Sherlock Holmes,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_1318158031_sccl_5/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81StezluKUS._AC_UL300_SR300,200_.jpg",5,Arthur Conan Doyle,https://www.amazon.in/Arthur-Conan-Doyle/e/B000AQ43GQ/ref=zg_bs_1318158031_bl_sccl_5/000-0000000-0000000,4.5 out of 5 stars,"15,608",https://www.amazon.in/product-reviews/8175994312/ref=zg_bs_1318158031_cr_sccl_5/000-0000000-0000000
The Hidden Hindu,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_1318158031_sccl_6/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81nZaGgPAGL._AC_UL300_SR300,200_.jpg",6,Akshat Gupta,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_1318158031_bl_sccl_6/000-0000000-0000000,4.3 out of 5 stars,942,https://www.amazon.in/product-reviews/0143455699/ref=zg_bs_1318158031_cr_sccl_6/000-0000000-0000000
"Samsara: Enter the Valley of the Gods (""India's answer to Harry Potter"")",https://www.amazon.in/Samsara-Valley-Indias-answer-Potter/dp/0143458280/ref=zg_bs_1318158031_sccl_7/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/91UkHHIjAjL._AC_UL300_SR300,200_.jpg",7,Saksham Garg,https://www.amazon.in/Saksham-Garg/e/B0B9XBMGWF/ref=zg_bs_1318158031_bl_sccl_7/000-0000000-0000000,4.5 out of 5 stars,363,https://www.amazon.in/product-reviews/0143458280/ref=zg_bs_1318158031_cr_sccl_7/000-0000000-0000000
"The Immortals of Meluha (Shiva Trilogy Book 1) (Shiva, 1)",https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy-Book/dp/9356290520/ref=zg_bs_1318158031_sccl_8/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/818bGgNn0EL._AC_UL300_SR300,200_.jpg",8,Amish Tripathi,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_1318158031_bl_sccl_8/000-0000000-0000000,4.6 out of 5 stars,"12,702",https://www.amazon.in/product-reviews/9356290520/ref=zg_bs_1318158031_cr_sccl_8/000-0000000-0000000
Chip War: The Fight for the World's Most Critical Technology,https://www.amazon.in/Chip-War-Dominate-Critical-Technology/dp/1398504106/ref=zg_bs_1318158031_sccl_9/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81k-FqQ-6NL._AC_UL300_SR300,200_.jpg",9,Chris Miller,https://www.amazon.in/Chris-Miller/e/B01NAI4IV6/ref=zg_bs_1318158031_bl_sccl_9/000-0000000-0000000,4.7 out of 5 stars,755,https://www.amazon.in/product-reviews/1398504106/ref=zg_bs_1318158031_cr_sccl_9/000-0000000-0000000
Murder in Tuscany: The start of a BRAND NEW cozy mystery series from bestseller T A Williams (An Armstrong and Oscar Cozy Mys,https://www.amazon.in/Murder-Tuscany-bestseller-Williams-Armstrong-ebook/dp/B0B6TS7KRX/ref=zg_bs_1318158031_sccl_10/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/91cNz5ieP+L._AC_UL300_SR300,200_.jpg",10,T A Williams,https://www.amazon.in/T-A-Williams/e/B00FDVNVMA/ref=zg_bs_1318158031_bl_sccl_10/000-0000000-0000000,4.4 out of 5 stars,622,https://www.amazon.in/product-reviews/B0B6TS7KRX/ref=zg_bs_1318158031_cr_sccl_10/000-0000000-0000000
War Of Lanka (Ram Chandra Series Book 4),https://www.amazon.in/War-Lanka-Ram-Chandra-Book-ebook/dp/B0B7J9THC7/ref=zg_bs_1318158031_sccl_11/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/919qAj215DL._AC_UL300_SR300,200_.jpg",11,Amish Tripathi,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_1318158031_bl_sccl_11/000-0000000-0000000,4.3 out of 5 stars,"2,822",https://www.amazon.in/product-reviews/B0B7J9THC7/ref=zg_bs_1318158031_cr_sccl_11/000-0000000-0000000
The Secret Garden,https://www.amazon.in/Secret-Garden-Frances-Hodgson-Burnett/dp/9386538997/ref=zg_bs_1318158031_sccl_12/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81oZ2suDhdS._AC_UL300_SR300,200_.jpg",12,Frances Hodgson Burnett,https://www.amazon.in/Frances-Hodgson-Burnett/e/B000AP8N9K/ref=zg_bs_1318158031_bl_sccl_12/000-0000000-0000000,4.3 out of 5 stars,"12,257",https://www.amazon.in/product-reviews/9386538997/ref=zg_bs_1318158031_cr_sccl_12/000-0000000-0000000
Something I Never Told You,https://www.amazon.in/Something-I-Never-Told-You/dp/0143445901/ref=zg_bs_1318158031_sccl_13/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/91PQFpYWLwL._AC_UL300_SR300,200_.jpg",13,Shravya Bhinder,https://www.amazon.in/Shravya-Bhinder/e/B079QTPSWL/ref=zg_bs_1318158031_bl_sccl_13/000-0000000-0000000,4.4 out of 5 stars,"2,337",https://www.amazon.in/product-reviews/0143445901/ref=zg_bs_1318158031_cr_sccl_13/000-0000000-0000000
Harry Potter and the Goblet of Fire,https://www.amazon.in/Harry-Potter-Goblet-Fire-Rowling-ebook/dp/B019PIOJWW/ref=zg_bs_1318158031_sccl_14/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81YoazRCtBL._AC_UL300_SR300,200_.jpg",14,J.K. Rowling,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_1318158031_bl_sccl_14/000-0000000-0000000,4.7 out of 5 stars,"32,749",https://www.amazon.in/product-reviews/B019PIOJWW/ref=zg_bs_1318158031_cr_sccl_14/000-0000000-0000000
Harry Potter and the Chamber of Secrets,https://www.amazon.in/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0/ref=zg_bs_1318158031_sccl_15/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81Wbfijio4L._AC_UL300_SR300,200_.jpg",15,J.K. Rowling,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_1318158031_bl_sccl_15/000-0000000-0000000,4.7 out of 5 stars,"42,939",https://www.amazon.in/product-reviews/B019PIOJY0/ref=zg_bs_1318158031_cr_sccl_15/000-0000000-0000000
The Immortals of Meluha,https://www.amazon.in/Audible-The-Immortals-of-Meluha/dp/B0BKCD5YSY/ref=zg_bs_1318158031_sccl_16/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81yuLX4zVDL._AC_UL300_SR300,200_.jpg",16,Amish Tripathi,,4.6 out of 5 stars,"12,702",https://www.amazon.in/product-reviews/B0BKCD5YSY/ref=zg_bs_1318158031_cr_sccl_16/000-0000000-0000000
"The Oath of The Vayuputras (Shiva Trilogy Book 3) (Shiva, 3)",https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy-Book/dp/9356290687/ref=zg_bs_1318158031_sccl_17/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81vZCuRX6-L._AC_UL300_SR300,200_.jpg",17,Amish Tripathi,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_1318158031_bl_sccl_17/000-0000000-0000000,4.6 out of 5 stars,"7,465",https://www.amazon.in/product-reviews/9356290687/ref=zg_bs_1318158031_cr_sccl_17/000-0000000-0000000
"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/B0BNNJYN32/ref=zg_bs_1318158031_sccl_18/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/615PcRe8cML._AC_UL300_SR300,200_.jpg",18,Gour gopal das,,5.0 out of 5 stars,1,https://www.amazon.in/product-reviews/B0BNNJYN32/ref=zg_bs_1318158031_cr_sccl_18/000-0000000-0000000
"The Secret of The Nagas (Shiva Trilogy Book 2) (Shiva, 2)",https://www.amazon.in/Secret-Nagas-Shiva-Trilogy-Book/dp/9356290601/ref=zg_bs_1318158031_sccl_19/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/81R5xrntmdL._AC_UL300_SR300,200_.jpg",19,Amish Tripathi,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_1318158031_bl_sccl_19/000-0000000-0000000,4.6 out of 5 stars,"8,370",https://www.amazon.in/product-reviews/9356290601/ref=zg_bs_1318158031_cr_sccl_19/000-0000000-0000000
Raavan : Enemy of Aryavarta (Ram Chandra Series Book 3),https://www.amazon.in/Raavan-Enemy-Aryavarta-Chandra-Book/dp/9356290970/ref=zg_bs_1318158031_sccl_20/000-0000000-0000000?psc=1,Action & Adventure,"https://images-eu.ssl-images-amazon.com/images/I/91B1dVwxB-L._AC_UL300_SR300,200_.jpg",20,Amish Tripathi,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_1318158031_bl_sccl_20/000-0000000-0000000,4.6 out of 5 stars,"10,556",https://www.amazon.in/product-reviews/9356290970/ref=zg_bs_1318158031_cr_sccl_20/000-0000000-0000000
