name,link,paperlink
Harry Potter and the Philosopher's Stone,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_1318158031_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Harry-Potter-Sorcerers-Stone-mm/dp/043936213X/ref=tmm_mmp_swatch_0?_encoding=UTF8&qid=&sr=
THE SILENT PATIENT,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_1318158031_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_1318158031_sccl_2/000-0000000-0000000?psc=1
War of Lanka (Ram Chandra Series Book 4),https://www.amazon.in/War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_1318158031_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_1318158031_sccl_3/000-0000000-0000000?psc=1
என்னருகே நீயிருந்தால் (Tamil Edition),https://www.amazon.in/%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%87-%E0%AE%A8%E0%AF%80%E0%AE%AF%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%B2%E0%AF%8D-Tamil-Ammu-yoga-ebook/dp/B0BRGH93KJ/ref=zg_bs_1318158031_sccl_4/000-0000000-0000000?psc=1,
The Complete Novels of Sherlock Holmes,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_1318158031_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_1318158031_sccl_5/000-0000000-0000000?psc=1
The Hidden Hindu,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_1318158031_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_1318158031_sccl_6/000-0000000-0000000?psc=1
"Samsara: Enter the Valley of the Gods (""India's answer to Harry Potter"")",https://www.amazon.in/Samsara-Valley-Indias-answer-Potter/dp/0143458280/ref=zg_bs_1318158031_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Samsara-Valley-Indias-answer-Potter/dp/0143458280/ref=zg_bs_1318158031_sccl_7/000-0000000-0000000?psc=1
"The Immortals of Meluha (Shiva Trilogy Book 1) (Shiva, 1)",https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy-Book/dp/9356290520/ref=zg_bs_1318158031_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy-Book/dp/9356290520/ref=zg_bs_1318158031_sccl_8/000-0000000-0000000?psc=1
Chip War: The Fight for the World's Most Critical Technology,https://www.amazon.in/Chip-War-Dominate-Critical-Technology/dp/1398504106/ref=zg_bs_1318158031_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Chip-War-Dominate-Critical-Technology/dp/1398504106/ref=zg_bs_1318158031_sccl_9/000-0000000-0000000?psc=1
Murder in Tuscany: The start of a BRAND NEW cozy mystery series from bestseller T A Williams (An Armstrong and Oscar Cozy Mys,https://www.amazon.in/Murder-Tuscany-bestseller-Williams-Armstrong-ebook/dp/B0B6TS7KRX/ref=zg_bs_1318158031_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Murder-Tuscany-bestseller-Williams-Armstrong/dp/1804832227/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
