name,author,genres,price
Harry Potter and the Philosopher's Stone,J.K. Rowling,Action & Adventure,250.0
THE SILENT PATIENT,Alex Michaelides,Action & Adventure,250.0
War of Lanka (Ram Chandra Series Book 4),Amish Tripathi,Action & Adventure,360.0
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,Action & Adventure,199.0
The Hidden Hindu,Akshat Gupta,Action & Adventure,750.0
"Samsara: Enter the Valley of the Gods (""India's answer to Harry Potter"")",Saksham Garg,Action & Adventure,330.0
"The Immortals of Meluha (Shiva Trilogy Book 1) (Shiva, 1)",Amish Tripathi,Action & Adventure,125.0
Chip War: The Fight for the World's Most Critical Technology,Chris Miller,Action & Adventure,820.0
Murder in Tuscany: The start of a BRAND NEW cozy mystery series from bestseller T A Williams (An Armstrong and Oscar Cozy Mys,T A Williams,Action & Adventure,695.0
War Of Lanka (Ram Chandra Series Book 4),Amish Tripathi,Action & Adventure,740.0
The Secret Garden,Frances Hodgson Burnett,Action & Adventure,599.0
Something I Never Told You,Shravya Bhinder,Action & Adventure,599.0
Harry Potter and the Goblet of Fire,J.K. Rowling,Action & Adventure,275.0
Harry Potter and the Chamber of Secrets,J.K. Rowling,Action & Adventure,499.0
The Immortals of Meluha,Amish Tripathi,Action & Adventure,1238.0
"The Oath of The Vayuputras (Shiva Trilogy Book 3) (Shiva, 3)",Amish Tripathi,Action & Adventure,615.0
"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gour gopal das,Action & Adventure,239.0
"The Secret of The Nagas (Shiva Trilogy Book 2) (Shiva, 2)",Amish Tripathi,Action & Adventure,199.0
Raavan : Enemy of Aryavarta (Ram Chandra Series Book 3),Amish Tripathi,Action & Adventure,299.0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Action & Adventure,520.0
The Hidden Hindu 2,Akshat Gupta,Action & Adventure,150.0
"War of Lanka: Ram Chandra, Book 4",Amish Tripathi,Action & Adventure,225.0
Harry Potter and the Order of the Phoenix,J.K. Rowling,Action & Adventure,299.0
Legend of Suheldev : The King Who Saved India,Amish Tripathi,Action & Adventure,820.0
"Sita : Warrior of Mithila (Ram Chandra Series Book 2) (Ram Chandra, 2)",Amish Tripathi,Action & Adventure,500.0
"Ram - Scion of Ikshvaku (Ram Chandra Series Book 1) (Ram Chandra, 1)",Amish Tripathi,Action & Adventure,7200.0
Where the Sun Never Sets (Signed by the author),Stuti Changle,Action & Adventure,680.0
Harry Potter and the Half-Blood Prince,J.K. Rowling,Action & Adventure,200.0
The Forest of Enchantments,Chitra Banerjee Divakaruni,Action & Adventure,695.0
Harry Potter and the Deathly Hallows,J.K. Rowling,Action & Adventure,299.0
The Secret of the Nagas,Amish Tripathi,Action & Adventure,599.0
Cinema Speculation,Quentin Tarantino,Action & Adventure,249.0
SHANTARAM,Gregory David Roberts,Action & Adventure,580.0
SIX OF CROWS: CROOKED KINGDOM (B PB),Leigh Bardugo,Action & Adventure,250.0
Project Hail Mary: From the bestselling author of The Martian,Andy Weir,Action & Adventure,350.0
The Nine Unknown (Mint Editions),Talbot Mundy,Action & Adventure,299.0
THE BOOK OF ICHIGO ICHIE,Francesc Miralles,Action & Adventure,139.0
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,Action & Adventure,399.0
"The Oath of the Vayuputras (English): Shiva Trilogy, Book 3",Amish Tripathi,Action & Adventure,595.0
The Magicians of Mazda Paperback – 21 May 2022,Ashwin Sanghi,Action & Adventure,520.0
A Song of Ice and Fire : Fire and Blood (The inspiration for HBO’s House of the Dragon TV tie-in edition): The inspiration fo,George R.R. Martin,Action & Adventure,330.0
"Spy X Family, Vol. 6, Volume 6",Tatsuya Endo,Action & Adventure,720.0
Energize your mind new edition book englis,Gaur gopal das,Action & Adventure,250.0
"No Plan B: The unputdownable new 2022 Jack Reacher thriller from the No.1 bestselling authors (Jack Reacher, 27)",Andrew Child,Action & Adventure,690.0
Lessons in Chemistry: The No. 1 Sunday Times bestseller and BBC Between the Covers Book Club pick,Bonnie Garmus,Action & Adventure,2194.0
"The Krishna Key, Bharat Series 3",Ashwin Sanghi,Action & Adventure,700.0
Heart of Darkness,Joseph Conrad,Action & Adventure,471.0
No Plan B: The unputdownable new 2022 Jack Reacher thriller from the No.1 bestselling authors,Lee Child,Action & Adventure,80.0
"The Rozabal Line, Bharat Series 1",Ashwin Sanghi,Action & Adventure,699.0
"The Sleepover: The BRAND NEW unputdownable, page-turning psychological thriller from bestseller Keri Beevis",Keri Beevis,Action & Adventure,275.0
The Adventures of Tom Sawyer,Mark Twain,Action & Adventure,499.0
The Nine Unknown,Talbot Mundy,Action & Adventure,599.0
"A Thousand Kisses Deep: A Romance Thriller Fiction Novel that revolves around Mystery & Suspense in Love, Life & Fate | Seque",Novoneel Chakraborty,Action & Adventure,957.0
Haunting Adeline,H D Carlton,Action & Adventure,195.0
The Nine Unknown (Mint Editions),Talbot Mundy,Action & Adventure,240.0
THE FINE PRINT: the TikTok sensation! Meet the Dreamland Billionaires...,Lauren Asher,Action & Adventure,1069.0
"Chanakya's Chant, Bharat Series 2",Ashwin Sanghi,Action & Adventure,280.0
SIX OF CROWS: CROOKED KINGDOM(COLLECTOR'S EDITION),Leigh Bardugo,Action & Adventure,199.0
The Ink Black Heart: The Number One international bestseller (Strike 6),Robert Galbraith,Action & Adventure,245.0
"Demon Slayer: Kimetsu No Yaiba, Vol. 13",Koyoharu Gotouge,Action & Adventure,300.0
The Immortals Of Meluha (Shiva Trilogy Book 1),Amish Tripathi,Action & Adventure,999.0
The Ink Black Heart: The Number One international bestseller (Strike 6),Robert Galbraith,Action & Adventure,350.0
Robinson Crusoe,Daniel Defoe,Action & Adventure,269.0
"Think & Trade Like a Champion: The Secrets, Rules & Blunt Truths of a Stock Market Wizard [Hardcover] Mark Minervini",Mark Minervini,Action & Adventure,140.0
Gullivers Travels,Jonathan Swift,Action & Adventure,300.0
Midnight's Children,Salman Rushdie,Action & Adventure,4270.47
Ram-Ikshvaku Ke Vanshaj [Descendants of Rama-Ikshvaku],Amish Tripathi,Action & Adventure,249.0
The Stationery Shop of Tehran,Marjan Kamali,Action & Adventure,460.0
The Wind In The Willows,Kenneth Grahame,Action & Adventure,350.0
Stolen Focus: Why You Can't Pay Attention,Johann Hari,Action & Adventure,225.0
Oliver Twist,Charles Dickens,Action & Adventure,125.0
