maincategory,subcategory,category,link,alt_link,iteration,qid,ref
0,"tv, audio & cameras",Televisions,https://www.amazon.in/gp/browse.html?node=1389396031&ref_=nav_em_sbc_tvelec_television_0_2_9_2,https://www.amazon.in/s?rh=n%3A1389396031&fs=true,46,1678609818,sr_pg_1
0,"tv, audio & cameras",Home Entertainment Systems,https://www.amazon.in/gp/browse.html?node=1389375031&ref_=nav_em_sbc_tvelec_home_ent_0_2_9_3,https://www.amazon.in/s?rh=n%3A1389375031&fs=true,400,1678609821,sr_pg_1
0,"tv, audio & cameras",Headphones,https://www.amazon.in/gp/browse.html?node=1388921031&ref_=nav_em_sbc_tvelec_headphones_0_2_9_4,https://www.amazon.in/s?rh=n%3A1388921031&fs=true,400,1678609823,sr_pg_1
0,"tv, audio & cameras",Speakers,https://www.amazon.in/gp/browse.html?node=1389365031&ref_=nav_em_sbc_tvelec_speakers_0_2_9_5,https://www.amazon.in/s?rh=n%3A1389365031&fs=true,400,1678609825,sr_pg_1
0,"tv, audio & cameras",Home Audio & Theater,https://www.amazon.in/gp/browse.html?node=1389387031&ref_=nav_em_sbc_tvelec_homeaud_all_0_2_9_6,https://www.amazon.in/s?rh=n%3A1389387031&fs=true,18,1678609827,sr_pg_1
0,"tv, audio & cameras",Cameras,https://www.amazon.in/gp/browse.html?node=1388977031&ref_=nav_em_sbc_tvelec_cameras_0_2_9_7,https://www.amazon.in/s?rh=n%3A1388977031&fs=true,400,1678609830,sr_pg_1
0,"tv, audio & cameras",DSLR Cameras,https://www.amazon.in/gp/browse.html?node=1389177031&ref_=nav_em_sbc_tvelec_dslr_0_2_9_8,https://www.amazon.in/s?rh=n%3A1389177031&fs=true,0,,
0,"tv, audio & cameras",Security Cameras,https://www.amazon.in/gp/browse.html?node=1389203031&ref_=nav_em_sbc_tvelec_security_0_2_9_9,https://www.amazon.in/s?rh=n%3A1389203031&fs=true,400,1678609832,sr_pg_1
0,"tv, audio & cameras",Camera Accessories,https://www.amazon.in/gp/browse.html?node=1388978031&ref_=nav_em_sbc_tvelec_cam_acc_0_2_9_10,https://www.amazon.in/s?rh=n%3A1388978031&fs=true,400,1678609836,sr_pg_1
0,"tv, audio & cameras",Musical Instruments & Professional Audio,https://www.amazon.in/gp/browse.html?node=3677697031&ref_=nav_em_sbc_tvelec_musical_inst_0_2_9_11,https://www.amazon.in/s?rh=n%3A3677697031&fs=true,400,1678609837,sr_pg_1
0,"tv, audio & cameras",Gaming Consoles,https://www.amazon.in/gp/browse.html?node=4092115031&ref_=nav_em_sbc_tvelec_gaming_consoles_0_2_9_12,https://www.amazon.in/s?rh=n%3A4092115031&fs=true,10,1678609840,sr_pg_1
0,"tv, audio & cameras",All Electronics,https://www.amazon.in/gp/browse.html?node=976419031&ref_=nav_em_sbc_tvelec_all_elec_0_2_9_13,https://www.amazon.in/s?rh=n%3A976419031&fs=true,400,1678609842,sr_pg_1
0,appliances,Air Conditioners,https://www.amazon.in/gp/browse.html?node=3474656031&ref_=nav_em_sbc_tvelec_ac_0_2_9_15,https://www.amazon.in/s?rh=n%3A3474656031&fs=true,30,1678609844,sr_pg_1
0,appliances,Refrigerators,https://www.amazon.in/gp/browse.html?node=1380365031&ref_=nav_em_sbc_tvelec_fridges_0_2_9_16,https://www.amazon.in/s?rh=n%3A1380365031&fs=true,90,1678609846,sr_pg_1
0,appliances,Washing Machines,https://www.amazon.in/gp/browse.html?node=1380369031&ref_=nav_em_sbc_tvelec_washing_machine_0_2_9_17,https://www.amazon.in/s?rh=n%3A1380369031&fs=true,60,1678609848,sr_pg_1
0,appliances,Kitchen & Home Appliances,https://www.amazon.in/gp/browse.html?node=4951860031&ref_=nav_em_sbc_tvelec_kitchen_appliances_0_2_9_18,https://www.amazon.in/s?rh=n%3A4951860031&fs=true,400,1678609850,sr_pg_1
0,appliances,Heating & Cooling Appliances,https://www.amazon.in/gp/browse.html?node=2083423031&ref_=nav_em_sbc_tvelec_heating_appl_0_2_9_19,https://www.amazon.in/s?rh=n%3A2083423031&fs=true,400,1678609852,sr_pg_1
0,appliances,All Appliances,https://www.amazon.in/gp/browse.html?node=5122348031&ref_=nav_em_sbc_tvelec_all_appliance_0_2_9_20,https://www.amazon.in/s?rh=n%3A5122348031&fs=true,400,1678609855,sr_pg_1
1,men's clothing,Clothing,https://www.amazon.in/gp/browse.html?node=1968024031&ref_=nav_em_sbc_mfashion_clothing_0_2_10_2,https://www.amazon.in/s?rh=n%3A1968024031&fs=true,400,1678609857,sr_pg_1
1,men's clothing,T-shirts & Polos,https://www.amazon.in/gp/browse.html?node=1968120031&ref_=nav_em_sbc_mfashion_tshirts_0_2_10_3,https://www.amazon.in/s?rh=n%3A1968120031&fs=true,400,1678609860,sr_pg_1
1,men's clothing,Shirts,https://www.amazon.in/gp/browse.html?node=1968093031&ref_=nav_em_sbc_mfashion_shirts_0_2_10_4,https://www.amazon.in/s?rh=n%3A1968093031&fs=true,400,1678609863,sr_pg_1
1,men's clothing,Jeans,https://www.amazon.in/gp/browse.html?node=1968076031&ref_=nav_em_sbc_mfashion_jeans_0_2_10_5,https://www.amazon.in/s?rh=n%3A1968076031&fs=true,400,1678609866,sr_pg_1
1,men's clothing,Innerwear,https://www.amazon.in/gp/browse.html?node=1968126031&ref_=nav_em_sbc_mfashion_innerwear_0_2_10_6,https://www.amazon.in/s?rh=n%3A1968126031&fs=true,400,1678609869,sr_pg_1
1,accessories,Watches,https://www.amazon.in/gp/browse.html?node=2563504031&ref_=nav_em_sbc_mfashion_watches_0_2_10_8,https://www.amazon.in/s?rh=n%3A2563504031&fs=true,400,1678609871,sr_pg_1
1,accessories,Bags & Luggage,https://www.amazon.in/gp/browse.html?node=2454169031&ref_=nav_em_sbc_mfashion_bags_0_2_10_9,https://www.amazon.in/s?rh=n%3A2454169031&fs=true,400,1678609874,sr_pg_1
1,accessories,Sunglasses,https://www.amazon.in/gp/browse.html?node=1968036031&ref_=nav_em_sbc_mfashion_sunglasses_0_2_10_10,https://www.amazon.in/s?rh=n%3A1968036031&fs=true,400,1678609877,sr_pg_1
1,accessories,Jewellery,https://www.amazon.in/gp/browse.html?node=7124359031&ref_=nav_em_sbc_mfashion_jewelry_0_2_10_11,https://www.amazon.in/s?rh=n%3A7124359031&fs=true,400,1678609879,sr_pg_1
1,accessories,Wallets,https://www.amazon.in/gp/browse.html?node=2917496031&ref_=nav_em_sbc_mfashion_wallets_0_2_10_12,https://www.amazon.in/s?rh=n%3A2917496031&fs=true,400,1678609882,sr_pg_1
1,men's shoes,Shoes,https://www.amazon.in/gp/browse.html?node=1983518031&ref_=nav_em_sbc_mfashion_shoes_0_2_10_14,https://www.amazon.in/s?rh=n%3A1983518031&fs=true,400,1678609885,sr_pg_1
1,men's shoes,Sports Shoes,https://www.amazon.in/gp/browse.html?node=1983519031&ref_=nav_em_sbc_mfashion_sportshoes_0_2_10_15,https://www.amazon.in/s?rh=n%3A1983519031&fs=true,400,1678609888,sr_pg_1
1,men's shoes,Formal Shoes,https://www.amazon.in/gp/browse.html?node=1983572031&ref_=nav_em_sbc_mfashion_formalshoes_0_2_10_16,https://www.amazon.in/s?rh=n%3A1983572031&fs=true,400,1678609891,sr_pg_1
1,men's shoes,Casual Shoes,https://www.amazon.in/gp/browse.html?node=9780814031&ref_=nav_em_sbc_mfashion_casualshoes_0_2_10_17,https://www.amazon.in/s?rh=n%3A9780814031&fs=true,400,1678609894,sr_pg_1
1,stores,Sportswear,https://www.amazon.in/gp/browse.html?node=12456568031&ref_=nav_em_sbc_mfashion_sportswear_0_2_10_19,https://www.amazon.in/s?rh=n%3A12456568031&fs=true,300,1678609897,sr_pg_1
1,stores,The Designer Boutique,https://www.amazon.in/gp/browse.html?node=6172354031&ref_=nav_em_sbc_mfashion_designerstore_0_2_10_20,https://www.amazon.in/s?rh=n%3A6172354031&fs=true,400,1678609900,sr_pg_1
1,stores,Men's Fashion,https://www.amazon.in/gp/browse.html?node=7459781031&ref_=nav_em_sbc_mfashion_all_0_2_10_21,https://www.amazon.in/s?rh=n%3A7459781031&fs=true,400,1678609902,sr_pg_1
1,stores,Amazon Fashion,https://www.amazon.in/gp/browse.html?node=6648217031&ref_=nav_em_sbc_mfashion_af_0_2_10_22,https://www.amazon.in/s?rh=n%3A6648217031&fs=true,400,1678609904,sr_pg_1
1,stores,Men's Handlooms,https://www.amazon.in/gp/browse.html?node=11969751031&ref_=nav_em_sbc_mfashion_handloom_0_2_10_23,https://www.amazon.in/s?rh=n%3A11969751031&fs=true,0,,
1,stores,Fashion Sales & Deals,https://www.amazon.in/gp/browse.html?node=4188827031&ref_=nav_em_sbc_mfashion_sales_deals_0_2_10_24,https://www.amazon.in/s?rh=n%3A4188827031&fs=true,12,1678609907,sr_pg_1
