name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Belladona Women's & Girls' Handbag (POH_7_Black),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41RRMBKpRCL._AC_UL320_.jpg,https://www.amazon.in/Belladona-Leather-Small-Pouch-Women/dp/B078LPDN6D/ref=sr_1_5?qid=1679152724&s=apparel&sr=1-5,4.0,"1,140",₹389,₹999
Elios Long Black PU Leather Wallet for Women (Black),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Y2eoUhz8L._AC_UL320_.jpg,https://www.amazon.in/Elios-Black-Womens-Wallet/dp/B071SJBYVW/ref=sr_1_6?qid=1679152724&s=apparel&sr=1-6,4.0,"4,801",₹549,"₹1,299"
Urban Forest Tammy Ladies Leather Wallet Combo,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/815PlByVCyL._AC_UL320_.jpg,https://www.amazon.in/Urban-Forest-Tammy-Leather-Wallet-Pen/dp/B07B3P1KD1/ref=sr_1_7?qid=1679152724&s=apparel&sr=1-7,4.3,"1,375",₹839,₹899
Young & Forever Women's Black Owl Fashion Backpack Handbag,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71c1qZFqDpL._AC_UL320_.jpg,https://www.amazon.in/Young-Forever-Backpack-Handbag-Black_Hb40154/dp/B07283WBCW/ref=sr_1_8?qid=1679152724&s=apparel&sr=1-8,3.6,23,"₹1,800","₹8,730"
WOMEN MARKS Girls' & Women's Sling Bag (wmhhs_flap_Cream),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41v36IBHnUL._AC_UL320_.jpg,https://www.amazon.in/WOMEN-MARKS-HAND-SLING-CREAM/dp/B01N4484QL/ref=sr_1_9?qid=1679152724&s=apparel&sr=1-9,4.0,"2,959",₹663,"₹2,199"
LAPIS O LUPO Hand bag for women small Synthetic Leather ladies Crossbody Sling Purse Travel Shoulder Strap,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71MgqmtEVoL._AC_UL320_.jpg,https://www.amazon.in/Lapis-Lupo-Brunet-Womens-Handbag/dp/B07FKMYR7N/ref=sr_1_10?qid=1679152724&s=apparel&sr=1-10,4.2,555,₹671,₹777
COSMUS Men's Sling Bag (Red & Black),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71D24ob+Z3L._AC_UL320_.jpg,https://www.amazon.in/COSMUS-Polyester-Fabric-Black-Messenger/dp/B078JW3TWY/ref=sr_1_11?qid=1679152724&s=apparel&sr=1-11,4.3,997,₹487,₹899
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Wome...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71urS9K23xL._AC_UL320_.jpg,https://www.amazon.in/Fostelo-Jane-Womens-Handbag-Grey/dp/B072VDK5M7/ref=sr_1_12?qid=1679152724&s=apparel&sr=1-12,3.8,"1,248",₹629,"₹2,799"
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Wome...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/8150jqsVvEL._AC_UL320_.jpg,https://www.amazon.in/Fostelo-Westside-Womens-Handbag-Light/dp/B07D7V7Z2C/ref=sr_1_13?qid=1679152724&s=apparel&sr=1-13,4.1,"6,022",₹629,"₹2,299"
WildHorn Leather 8.5 inch Sling Messenger Bag for Men I Multipurpose Crossbody Bag I Travel Bag with Adjustable Strap I DI...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91gmtJpPPLL._AC_UL320_.jpg,https://www.amazon.in/WildHorn-Genuine-Leather-Messenger-8-5inch/dp/B07GLHSB86/ref=sr_1_14?qid=1679152724&s=apparel&sr=1-14,4.3,879,"₹1,850","₹4,999"
