name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71L-lTQnJiL._AC_UL320_.jpg,https://www.amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_4?qid=1678724401&s=electronics&sr=1-4,4.2,"47,490","₹10,999","₹24,999"
MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81tD7OZ0RXL._AC_UL320_.jpg,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_5?qid=1678724401&s=electronics&sr=1-5,4.2,"34,184","₹11,999","₹24,999"
OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71d5fMDvq9L._AC_UL320_.jpg,https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_6?qid=1678724401&s=electronics&sr=1-6,4.2,"36,677","₹11,999","₹19,999"
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71a4ZQNqTiL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_7?qid=1678724401&s=electronics&sr=1-7,4.2,"8,829","₹12,490","₹22,900"
Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/712am1RDNiL._AC_UL320_.jpg,https://www.amazon.in/Acer-inches-Ready-Android-AR32AR2841HDFL/dp/B0B1YVCJ2Y/ref=sr_1_8?qid=1678724401&s=electronics&sr=1-8,4.4,"7,781","₹10,999","₹19,990"
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71arAQvySlL._AC_UL320_.jpg,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_9?qid=1678724401&s=electronics&sr=1-9,4.3,"12,473","₹13,990","₹21,990"
VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81oHGrH1PwL._AC_UL320_.jpg,https://www.amazon.in/Visio-World-inches-VW32S-Ready/dp/B07MNNH484/ref=sr_1_10?qid=1678724401&s=electronics&sr=1-10,4.0,"7,120","₹7,599","₹16,999"
Redmi 108 cm (43 inches) Android 11 Series Full HD Smart LED TV L43M6-RA/L43M7-RA (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71g3OF4CL9L._AC_UL320_.jpg,https://www.amazon.in/Redmi-inches-Smart-L43M6-RA-Android/dp/B09G73T643/ref=sr_1_11?qid=1678724401&s=electronics&sr=1-11,4.2,"47,490","₹21,999","₹34,999"
VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/714MfYgM9rL._AC_UL320_.jpg,https://www.amazon.in/Visio-World-inches-VW32A-Ready/dp/B07MKFNHKG/ref=sr_1_12?qid=1678724401&s=electronics&sr=1-12,4.3,"4,700","₹6,666","₹12,999"
OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81iLglMLueL._AC_UL320_.jpg,https://www.amazon.in/OnePlus-inches-Ready-Smart-Android/dp/B09Q5SWVBJ/ref=sr_1_16?qid=1678724401&s=electronics&sr=1-16,4.2,"36,677","₹14,499","₹21,999"
