name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41UYenF+lnL._AC_UL320_.jpg,https://www.amazon.in/Boya-Omnidirectional-Lavalier-Condenser-Microphone/dp/B076B8G5D8/ref=sr_1_4?qid=1679133096&s=musical-instruments&sr=1-4,4.0,"70,316",₹789,"₹1,995"
"Tygot Adjustable Aluminium Alloy Tripod Stand Holder for Mobile Phones & Camera, 360 mm -1060 mm (42 Inch), 1/4 inch Screw...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51jx8hycZUL._AC_UL320_.jpg,https://www.amazon.in/Tygot-Adjustable-Aluminium-Tripod-Bracket/dp/B07P8LDZJ5/ref=sr_1_5?qid=1679133096&s=musical-instruments&sr=1-5,3.3,"53,251",₹329,"₹1,999"
"Syvo WT 3130 Aluminum Tripod (50 Inches), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All ...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61H1dMNTSnL._AC_UL320_.jpg,https://www.amazon.in/Syvo-3130-Aluminum-Universal-Lightweight/dp/B07N42JB4S/ref=sr_1_6?qid=1679133096&s=musical-instruments&sr=1-6,4.3,"28,644",₹799,"₹3,990"
"Duracell Ultra Alkaline AA Batteries, pack of 8","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Ms28fTZnL._AC_UL320_.jpg,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZO90Y/ref=sr_1_7?qid=1679133096&s=musical-instruments&sr=1-7,4.5,"28,976",₹299,₹315.01
"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71y1TJbygLL._AC_UL320_.jpg,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_8?qid=1679133096&s=musical-instruments&sr=1-8,4.0,"18,817","₹1,899","₹6,990"
"Juarez JRZ250 One Handed Trigger Guitar Metal Capo Quick Change For Ukulele, Electric And Acoustic Guitars, Black","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71rEeRq9oyL._AC_UL320_.jpg,https://www.amazon.in/Juarez-Trigger-Ukulele-Electric-Acoustic/dp/B072FH5KLJ/ref=sr_1_9?qid=1679133096&s=musical-instruments&sr=1-9,4.3,"13,386",₹130,₹990
"Digitek DTR 550 LW (67 Inch) Tripod For DSLR, Camera |Operating Height: 5.57 Feet | Maximum Load Capacity up to 4.5kg | Po...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51qdv0vNyNL._AC_UL320_.jpg,https://www.amazon.in/Digitek-DTR-550-LW-Tripod/dp/B074CWD7MS/ref=sr_1_10?qid=1679133096&s=musical-instruments&sr=1-10,4.4,"15,576","₹1,549","₹2,495"
"JBL Commercial CSLM20B Auxiliary Omnidirectional Lavalier Microphone With Battery For Content Creation, Voiceover/Dubbing,...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Z16ETVVYL._AC_UL320_.jpg,https://www.amazon.in/JBL-Commercial-Omnidirectional-Microphone-Recording/dp/B08SCCG9D4/ref=sr_1_11?qid=1679133096&s=musical-instruments&sr=1-11,3.9,"8,326",₹949,"₹2,000"
MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61qQrv9iAfL._AC_UL320_.jpg,https://www.amazon.in/Maono-AU-400-Lavalier-Microphone-Black/dp/B07JF9B592/ref=sr_1_12?qid=1679133096&s=musical-instruments&sr=1-12,3.8,"20,731",₹489,₹699
Tygot Gorilla Tripod/Mini 33 CM (13 Inch) Tripod for Mobile Phone with Phone Mount | Flexible Gorilla Stand for DSLR & Act...,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51I+SdOM9NL._AC_UL320_.jpg,https://www.amazon.in/Tygot-Gorilla-Tripod-Flexible-Cameras/dp/B07WCMQSXB/ref=sr_1_16?qid=1679133096&s=musical-instruments&sr=1-16,3.9,"24,830",₹279,"₹1,999"
"JUAREZ JAP60 Guitar Plectrums Pick Set of Various Thickness, 6 Pieces (Celluloid + ABS), Colours Random","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71EzaEE+liL._AC_UL320_.jpg,https://www.amazon.in/JUAREZ-JAP60-Plectrums-Thickness-Celluloid/dp/B08K43SPQ1/ref=sr_1_17?qid=1679133096&s=musical-instruments&sr=1-17,4.4,"2,560",₹135,₹290
"ENVIE® (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self Discharge, AA 1000mAh Ni-CD (Pack of 4)","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71CO8XOhKVL._AC_UL320_.jpg,https://www.amazon.in/Envie-1000-4PL-Ni-CD-Rechargeable/dp/B00BN5SNF0/ref=sr_1_18?qid=1679133096&s=musical-instruments&sr=1-18,3.9,"14,356",₹250,₹395
"Juarez JRZ100 Guitar Wall Hanger/Mount With Fittings/Accessories, Black","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51AdYDbV1HL._AC_UL320_.jpg,https://www.amazon.in/Juarez-JRZ100-Guitar-Fittings-Accessories/dp/B0716FQ7SP/ref=sr_1_19?qid=1679133096&s=musical-instruments&sr=1-19,4.3,"12,976",₹159,₹990
"HUMBLE Dynamic Lapel Collar Mic Voice Recording Filter Microphone for Singing Youtube SmartPhones, Black","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61UW-tMaoFL._AC_UL320_.jpg,https://www.amazon.in/HUMBLE-Dynamic-Recording-Microphone-SmartPhones/dp/B08HD7JQHX/ref=sr_1_20?qid=1679133096&s=musical-instruments&sr=1-20,3.3,"3,076",₹199,₹499
"JBL Commercial CSLM20 Auxiliary Omnidirectional Lavalier Microphone, Earphone For calls, Video Conferences, And Monitorin...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61y2VvrVsoL._AC_UL320_.jpg,https://www.amazon.in/JBL-Commercial-Omnidirectional-Microphone-Conferences/dp/B08SCG35MG/ref=sr_1_21?qid=1679133096&s=musical-instruments&sr=1-21,3.9,"7,284",₹599,"₹2,000"
"Duracell Ultra Alkaline AAA Batteries, Pack of 8","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71vFrT0G4DL._AC_UL320_.jpg,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B01DJJVFPC/ref=sr_1_22?qid=1679133096&s=musical-instruments&sr=1-22,4.5,"18,403",₹299,₹350
"GRENARO Wireless Mic with Charging Case, Noise Reduction Lapel Mic for Video Recording, YouTube, Facebook, Live Stream, Su...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71qOhp8kcSL._AC_UL320_.jpg,https://www.amazon.in/GRENARO-Dual-Channel-Universal-Version/dp/B09ZV5JHVR/ref=sr_1_23?qid=1679133096&s=musical-instruments&sr=1-23,3.9,"1,243","₹2,518","₹3,999"
"Juarez JRZ10HM Key C Diatonic Blues Harmonica 10 Hole 20 Tones with Case, Mouth Organ for Beginners, Students, Kids & Prof...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/615RyYFVkzL._AC_UL320_.jpg,https://www.amazon.in/JRZ10HM-Diatonic-Harmonica-Beginners-Professionals/dp/B088KRHPG5/ref=sr_1_24?qid=1679133096&s=musical-instruments&sr=1-24,4.2,"3,884",₹355,₹790
D'Addario Bronze Acoustic Guitar Strings_{.010-.050_Extra Light Gauge}_Stainless Steel Material,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71CS8tgkboS._AC_UL320_.jpg,https://www.amazon.in/DAddario-EZ900-Bronze-Acoustic-Strings/dp/B009T0F6MY/ref=sr_1_25?qid=1679133096&s=musical-instruments&sr=1-25,4.4,"4,852",₹408,₹430
"Digitek Wireless Microphone System for DSLR, Camcorder, Smartphone & Tablet DWM 101","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61H209ELWqL._AC_UL320_.jpg,https://www.amazon.in/Digitek-Microphone-Smartphone-DWM-101/dp/B0B8DF9H2R/ref=sr_1_26?qid=1679133096&s=musical-instruments&sr=1-26,3.6,220,"₹4,599","₹6,995"
ENVIE ECR-20 Charger for AA & AAA Rechargeable Batteries,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61lZAO2VbIL._AC_UL320_.jpg,https://www.amazon.in/ENVIE-ECR-20-Charger-Rechargeable-Batteries/dp/B00N3XLDW0/ref=sr_1_27?qid=1679133096&s=musical-instruments&sr=1-27,3.6,"10,068",₹299,₹400
Radhe Flutes | Right Handed C Natural With Velvet Cover | Tuned With Tanpura A=440Hz | PVC Fiber,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51n19GeyNcL._AC_UL320_.jpg,https://www.amazon.in/Radhe-Flutes-Natural-Bansuri-Middle/dp/B07T35ZBHB/ref=sr_1_28?qid=1679133096&s=musical-instruments&sr=1-28,4.2,"3,806",₹399,₹799
Alice Bronze Acoustic Guitar Strings GS-01_Phosphor Bronze_(Pack of 1),"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81qvIf0SkKL._AC_UL320_.jpg,https://www.amazon.in/Alice-A206-Phosphor-Bronze-Strings/dp/B00QAFCNK4/ref=sr_1_29_mod_primary_new?qid=1679133096&s=musical-instruments&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-29,4.2,"7,531",₹200,₹300
"Kadence Wanderer Mahogany wood Ukulele (Online LEARNING course free having 66 videos) soprano 21"" (Super Combo, Bag with T...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61woEr3q-GS._AC_UL320_.jpg,https://www.amazon.in/Kadence-Wanderer-Mahogany-LEARNING-Fluorocarbon/dp/B098WXZNHZ/ref=sr_1_30?qid=1679133096&s=musical-instruments&sr=1-30,4.3,"6,014","₹2,699","₹4,000"
Maono AU-B01 Microphone Suspension Boom Scissor Arm Stand (Black),"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/51ik3JSGdNL._AC_UL320_.jpg,https://www.amazon.in/Maono-AU-B01-Microphone-Suspension-Scissor/dp/B07JGQ9L5B/ref=sr_1_28?qid=1679133098&s=musical-instruments&sr=1-28,4.1,"1,513",₹459,₹999
"Boya by-MM1 Super-Cardioid Shotgun Microphone with Real Time Monitoring Compatible with iPhone/Android Smartphones, DSLR C...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/51T6FEDoEvL._AC_UL320_.jpg,https://www.amazon.in/Universal-Cardiod-Shotgun-Microphone-Camcorder/dp/B06XWH97X8/ref=sr_1_29?qid=1679133098&s=musical-instruments&sr=1-29,3.9,"4,320","₹1,587","₹5,990"
"Osaka­® 10"" (25.4 cm) Professional LED Ring Light with Tripod Stand for Mobile Phones & Camera, 3 Color Temperature Mode D...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/71oxLyQ3VIL._AC_UL320_.jpg,https://www.amazon.in/Osaka-Inches-Compatible-Smartphones-YouTube/dp/B08B5VL1SP/ref=sr_1_30?qid=1679133098&s=musical-instruments&sr=1-30,4.3,"7,102","₹1,699","₹7,500"
"SUKHAD Audio Interface AMP iRig from for iPod Touch, iPhone, and iPad, 7 X 2 X 2 cm, Black and White","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/414icCyXaaL._AC_UL320_.jpg,https://www.amazon.in/SUKHAD-Interface-System-Guitar-Effects/dp/B07Q46S436/ref=sr_1_31?qid=1679133098&s=musical-instruments&sr=1-31,4.2,"2,690",₹599,"₹1,199"
"Juarez E 1st x 3 pc Acoustic Guitar Stainless Steel Strings Set, Clear Tone, Hollow Ball End","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/71WbEnmv5dL._AC_UL320_.jpg,https://www.amazon.in/Juarez-Acoustic-Guitar-Stainless-Strings/dp/B08K3ZRF87/ref=sr_1_32?qid=1679133098&s=musical-instruments&sr=1-32,4.1,"1,155",₹100,₹290
Maono AU-600 TRRS Male to TRS 3.5mm Female Lavalier Microphones Auxiliary Adapter,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/41OBwoa0GOL._AC_UL320_.jpg,https://www.amazon.in/AU-600-Female-Lavalier-Microphones-Adapter/dp/B08GCZQT7D/ref=sr_1_33?qid=1679133098&s=musical-instruments&sr=1-33,4.0,"1,194",,₹100
"Palap Piano Stickers Labels for 37, 49, 54, 61, 88 Keys Keyboard, Piano Removal Stickers","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/61eAYklfaZL._AC_UL320_.jpg,https://www.amazon.in/Palap-Stickers-Labels-Keyboard-Removal/dp/B07TX79NLC/ref=sr_1_34?qid=1679133098&s=musical-instruments&sr=1-34,4.3,"3,083",₹298,₹599
"Kadence Heavy-Duty, Double-X, Adjustable Piano Keyboard Stand with Locking Straps (NK13-3kg Dual Braced)","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/41uPrmdzTiL._AC_UL320_.jpg,https://www.amazon.in/Kadence-Keyboard-Stand-Braced-Support/dp/B01L77Z7WK/ref=sr_1_35?qid=1679133098&s=musical-instruments&sr=1-35,4.4,"5,033","₹1,599","₹2,250"
"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/71RkY055j7L._AC_UL320_.jpg,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_36?qid=1679133098&s=musical-instruments&sr=1-36,4.3,"2,335","₹7,200","₹7,490"
